"plec","waga","woj","region66","internet_zawodowo","samotnosc","internet_h","rok"
"mężczyzna",0.850055827721213,"Dolnośląskie",2,"NIE","NIE",30,"2005"
"kobieta",1.02215199935891,"Dolnośląskie",2,"TAK","NIE",7,"2005"
"kobieta",0.822295854143824,"Dolnośląskie",3,"NIE","NIE",3,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",3,"TAK","NIE",28,"2005"
"kobieta",1.0948545789736,"Dolnośląskie",3,"NIE","TAK",5,"2005"
"kobieta",0.784044666363826,"Dolnośląskie",3,"NIE","NIE",2,"2005"
"kobieta",0.822295854143824,"Dolnośląskie",3,"NIE","TAK",1,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",3,"NIE","NIE",2,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",3,"TAK","NIE",40,"2005"
"kobieta",0.918059492991893,"Dolnośląskie",3,"NIE","NIE",1,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",3,"NIE","NIE",4,"2005"
"mężczyzna",1.09196116318853,"Dolnośląskie",3,"NIE","NIE",9,"2005"
"kobieta",1.0948545789736,"Dolnośląskie",310,"TAK","NIE",2,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",310,"NIE","NIE",20,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",310,"NIE","NIE",2,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",310,"NIE","NIE",3,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",310,"NIE","NIE",2,"2005"
"kobieta",1.02416152076931,"Dolnośląskie",310,"NIE","TAK",10,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",310,"NIE","TAK",15,"2005"
"kobieta",0.918059492991893,"Dolnośląskie",310,"NIE","TAK",1,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",310,"NIE","TAK",10,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",310,"TAK","NIE",10,"2005"
"mężczyzna",1.11580816388919,"Dolnośląskie",310,"NIE","NIE",10,"2005"
"kobieta",1.02416152076931,"Dolnośląskie",310,"NIE","NIE",1,"2005"
"mężczyzna",1.11580816388919,"Dolnośląskie",310,"NIE","NIE",5,"2005"
"kobieta",1.31119113727592,"Dolnośląskie",310,"NIE","NIE",4,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",310,"NIE","NIE",8,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",310,"NIE","NIE",30,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",310,"NIE","NIE",21,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",310,"NIE","NIE",8,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",310,"NIE","NIE",30,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",310,"NIE","NIE",2,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",310,"NIE","NIE",80,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",310,"NIE","NIE",2,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",310,"NIE","TAK",5,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",310,"NIE","NIE",3,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",310,"NIE","TAK",15,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",310,"NIE","NIE",3,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",310,"NIE","TAK",15,"2005"
"mężczyzna",1.09196116318853,"Dolnośląskie",310,"TAK","NIE",15,"2005"
"kobieta",1.02416152076931,"Dolnośląskie",310,"NIE","NIE",6,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",310,"NIE","TAK",5,"2005"
"kobieta",0.918059492991893,"Dolnośląskie",310,"TAK","TAK",4,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",310,"TAK","NIE",1,"2005"
"mężczyzna",1.02416152076931,"Dolnośląskie",310,"NIE","NIE",10,"2005"
"mężczyzna",1.11580816388919,"Dolnośląskie",310,"NIE","TAK",10,"2005"
"mężczyzna",1.11580816388919,"Dolnośląskie",310,"TAK","NIE",10,"2005"
"kobieta",1.0948545789736,"Dolnośląskie",310,"TAK","NIE",8,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",310,"NIE","NIE",40,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",310,"NIE","NIE",1,"2005"
"kobieta",0.918059492991893,"Dolnośląskie",310,"NIE","TAK",12,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",310,"TAK","NIE",10,"2005"
"kobieta",1.0948545789736,"Dolnośląskie",310,"NIE","TAK",2,"2005"
"kobieta",1.02416152076931,"Dolnośląskie",310,"TAK","TAK",14,"2005"
"mężczyzna",1.23913576126451,"Dolnośląskie",310,"TAK","NIE",10,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",1,"NIE","NIE",1,"2005"
"kobieta",0.918059492991893,"Dolnośląskie",1,"NIE","NIE",2,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",1,"NIE","NIE",4,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",1,"NIE","NIE",5,"2005"
"mężczyzna",1.09196116318853,"Dolnośląskie",1,"NIE","TAK",10,"2005"
"kobieta",1.14300912451709,"Dolnośląskie",1,"NIE","NIE",30,"2005"
"kobieta",0.830995231795584,"Dolnośląskie",1,"NIE","NIE",2,"2005"
"mężczyzna",1,"Dolnośląskie",1,"NIE","NIE",40,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",1,"NIE","NIE",1,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",1,"NIE","NIE",20,"2005"
"kobieta",0.918059492991893,"Dolnośląskie",1,"NIE","NIE",5,"2005"
"mężczyzna",1.02071335913206,"Dolnośląskie",1,"NIE","NIE",5,"2005"
"kobieta",1.02416152076931,"Dolnośląskie",1,"NIE","NIE",1,"2005"
"kobieta",1.02416152076931,"Dolnośląskie",1,"NIE","NIE",3,"2005"
"kobieta",1.02416152076931,"Dolnośląskie",2,"NIE","NIE",4,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",2,"TAK","NIE",5,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",2,"NIE","NIE",15,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",2,"NIE","NIE",6,"2005"
"mężczyzna",0.962640519711534,"Dolnośląskie",2,"NIE","NIE",6,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",2,"NIE","NIE",10,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",2,"TAK","NIE",1,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",2,"TAK","NIE",3,"2005"
"kobieta",1.02416152076931,"Dolnośląskie",2,"NIE","NIE",3,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",2,"TAK","NIE",80,"2005"
"mężczyzna",1.25855888824751,"Dolnośląskie",2,"NIE","NIE",10,"2005"
"mężczyzna",0.845852922421346,"Dolnośląskie",2,"NIE","NIE",15,"2005"
"kobieta",0.784044666363826,"Dolnośląskie",2,"NIE","NIE",5,"2005"
"kobieta",0.822295854143824,"Dolnośląskie",2,"NIE","NIE",3,"2005"
"kobieta",1.05900130582769,"Dolnośląskie",1,"NIE","NIE",2,"2005"
"kobieta",0.784044666363826,"Dolnośląskie",1,"NIE","NIE",1,"2005"
"mężczyzna",1.06073025894941,"Dolnośląskie",2,"NIE","TAK",10,"2005"
"kobieta",1.19428122539882,"Dolnośląskie",2,"NIE","NIE",21,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",2,"NIE","NIE",2,"2005"
"kobieta",0.918059492991893,"Dolnośląskie",2,"NIE","NIE",8,"2005"
"mężczyzna",0.957677120811974,"Dolnośląskie",2,"NIE","NIE",5,"2005"
"kobieta",0.822295854143824,"Dolnośląskie",4,"TAK","NIE",6,"2005"
"mężczyzna",0.962640519711534,"Dolnośląskie",4,"NIE","NIE",2,"2005"
"kobieta",0.822295854143824,"Dolnośląskie",4,"NIE","TAK",1,"2005"
"kobieta",0.822295854143824,"Dolnośląskie",4,"NIE","TAK",2,"2005"
"kobieta",0.835474175950564,"Kujawsko-Pomorskie",7,"NIE","NIE",2,"2005"
"kobieta",1.06962262564445,"Kujawsko-Pomorskie",5,"NIE","NIE",20,"2005"
"kobieta",0.835474175950564,"Kujawsko-Pomorskie",5,"NIE","NIE",8,"2005"
"mężczyzna",0.785287553410994,"Kujawsko-Pomorskie",6,"NIE","NIE",25,"2005"
"kobieta",0.639595472251977,"Kujawsko-Pomorskie",6,"NIE","TAK",5,"2005"
"mężczyzna",1.01084243846194,"Kujawsko-Pomorskie",6,"NIE","TAK",20,"2005"
"mężczyzna",0.91023621502981,"Kujawsko-Pomorskie",6,"NIE","NIE",15,"2005"
"kobieta",0.670799417080541,"Kujawsko-Pomorskie",6,"NIE","TAK",27,"2005"
"mężczyzna",0.785287553410994,"Kujawsko-Pomorskie",6,"NIE","NIE",15,"2005"
"mężczyzna",0.690016427100787,"Kujawsko-Pomorskie",6,"NIE","NIE",5,"2005"
"kobieta",0.670799417080541,"Kujawsko-Pomorskie",6,"NIE","NIE",2,"2005"
"kobieta",0.639595472251977,"Kujawsko-Pomorskie",6,"NIE","NIE",1,"2005"
"mężczyzna",0.785287553410994,"Kujawsko-Pomorskie",5,"NIE","NIE",1,"2005"
"kobieta",0.835474175950564,"Kujawsko-Pomorskie",7,"NIE","NIE",10,"2005"
